Track Name,Track Artists
Africano,"Earth, Wind & Fire"
Boogie Back,Roy Ayers Ubiquity
Do the Funky Penguin (Part 2),Rufus Thomas
Yes We Can Can,The Pointer Sisters
Shack Up,Banbarra
Dynamite (The Bomb),Shotgun
Burning Bridges,The Mike Curb Congregation
Cookies,Brother Soul
Shifting Gears,Johnny Hammond
Frisco Disco,Eastside Connection
Walk This Way,Aerosmith
I Believe in Miracles,Jackson Sister
Got To Be Real,Cheryl Lynn
House of Rising Funk,The Chubukos
I've Been Watching You,The Southside Movement
Dance to the Drummer's Beat,Herman Kelly & Life
Cloud 9,Mongo Santamaria
The Mexican,Babe Ruth
Corazon,Creative Source
Seven Minutes of Funk,The Whole Darn Family
I Can't Stop,John Davis and The Monster Orchestra
Shangri La,La Pregunta
It's Just Begun,Jimmy Castor Bunch
Think (About It),Lyn Collins
Chocolate Buttermilk,Kool & The Gang
Keep Your Distance,Babe Ruth
Sister Sanctified,Stanley Turrentine
Down on the Avenue,Fat Larry's Band
(Runaway) I Wouldn't Change a Thing,Coke Escovedo
Let's Have Some Fun,Bar-Kays
Street Talk,Funky Constellation
You Don't Know,Alphonse Mouzon
Chinese Chicken,Duke Williams & The Extremes
God Made Me Funky,The Headhunters
Bustin' Loose,Chuck Brown and the Soul Searchers
Ashley's Roachclip,The Soul Searchers
Sing A Simple Song,Please
Put the Music Where Your Mouth Is,Olympic Runners
Phenomena Theme,In Search of Orchestra
Love the Life You Live,Black Heat
Change (Makes You Want to Hustle),Donald Byrd
Synthetic Substitution,Melvin Bliss
Melting Pot,Booker T & the MG's
Different Strokes,Syl Johnson
Take Off Your Make Up,Lamont Dozier
Kool Is Back,"Funk, Inc."
Bouncy Lady,Pleasure
Theme From S.W.A.T.,Rhythm Heritage
Funky Nassau,The Beginning of the End
N.T.,Kool & The Gang
Honky Tonk Women,The Rolling Stones
Shaft in Africa,Johnny Pate
Burning Spear,S.O.U.L.
Mardi Gras,Bob James
Oh Honey,Delegation
Mary Mary,The Monkees
Reach Out of the Darkness,Friend & Lover
I Like Funky Music,Uncle Louie
Willie Chase,J.J. Johnson
Black Belt Jones Theme,Dennis Coffey
Hard to Handle,Otis Redding
"Amen, Brother",The Winstons
Date with the Rain,Eddie Kendricks
Love to the World,L.T.D.
Cramp Your Style,All the People Featuring Robert Moore
2001,Cecil Holmes Soulful Sounds
The Easiest Way to Fall,Freda Payne
Impeach the President,The Honey Drippers
Afrique,Soul Makossa
Break Through,Isaac Hayes
Expansions,Lonnie Liston Smith & The Cosmic Echoes
Cavern,Liquid Liquid
Get Out of My Life Woman,Solomon Burke
Lonesome Cowboy,Roy Ayers Ubiquity
Think,Lyn Collins
Let's Dance,Pleasure
Love and Affection,Ike White
Knock Him Out Sugar Ray,E.U.
Funky Drummer,James Brown
Cold Sweat,James Brown & The Famous Flames
The Champ,The Mohawks
Get Me Back on Time,Wilson Pickett
Mister Magic,"Grover Washington, Jr."
Brother Green,Roy Ayers
Rock Music,Jefferson Starship
The Breakdown,Rufus Thomas
Space Dust,The Galactic Force Band
Rock Steady,Aretha Franklin
Rock Creek Park,The Blackbyrds
I Get Lifted,KC and The Sunshine Band
Devil With The Bust,Sound Experience
"Get Up, Get Into It, Get Involved",James Brown
Bring It Here,Wild Sugar
Indiscreet,D.C. LaRue
Groove To Get Down,T-Connection
"""T"" Plays It Cool",Marvin Gaye
Listen to Me,Baby Huey
UFO,ESG
Save the World,The Southside Movement
Scorpio,Dennis Coffey
Last Night Changed It All,Esther Williams
I Walk on Gilded Splinters,Johnny Jenkins
In-A-Gadda-Da-Vida,Incredible Bongo Band
You'll Like It Too,Funkadelic
Misdemeanor,Foster Sylvers
Tramp,Lowell Fulsom
Country Cooking,Various Artists
You and Love Are the Same,The Grass Roots
Jack & Diane,John Cougar
Soul Pride,James Brown
Granny's Funky Rolls Royce,"Walter ""Junie"" Morrison"
24 Carat Black,24 Carat Black
Get Ready,Rare Earth
Blow Your Head,Fred Wesley and the JB's
Hit or Miss,Bo Diddley
Funky President,James Brown
"Let a Woman Be a Woman, Let a Man Be a Man",Dyke and The Blazers
The Hook And Sling,Eddie Bo
It's a New Day,Skull Snaps
Mambo No. 5,Samba Soul
Funky Music Is the Thing,Dynamic Corvettes
Gimmie What You Got,Le Pamplemousse
One Man Band (Plays All Alone),Monk Higgins
Catch a Groove,Juice
Sing Sing Sing,The Incredible Bongo Band
Flip,Jesse Green
Give It To You,UPP
I'm Gonna Love You Just a Little More Baby,Barry White
Castle in the Sky,The Futures
Catch A Groove,Juice
Midnight Theme,Manzel
Love's Theme,Fausto Papetti
Hand Clapping Song,The Meters
Joyous,Pleasure
Space Funk,Manzel
I Know You Got Soul,Bobby Byrd
Parade Strut,J.J. Johnson
Apache,Incredible Bongo Band
Black Grass,Bad Bascomb
I Can't Get Next to You,Mongo Santamaria
"Ride, Sally, Ride",Dennis Coffey
You Should've Listened,Black Heat
Johnny the Fox Meets Jimmy the Weed,Thin Lizzy
Pot Belly,Lou Donaldson
Main Theme From Star Wars,David Matthews
Conga,The Lafayette Afro Rock Band
Bongo Rock,The Incredible Bongo Band
Yellow Sunshine,Yellow Sunshine
Easter Parade,Ingrid
Chicken Yellow,Miami
Police Woman,Henry Mancini
Sky's the Limit,Rhythm Heritage
Woman,Barrabás
Films,Gary Numan
You Made Me What I Am,The Jackson 5
Sing Sing,Gaz
Papa Was Too,Joe Tex
The Assembly Line,Commodores
I Believe In Music,Kay-Gees
It's Great to be Here,The Jackson 5
Brothers on the Slide,Cymande
Take the Money and Run,Steve Miller Band
It's My Thing,Marva Whitney
Sesame Street, Blow Fly
"(Somebody Got) Soul, Soul, Soul",The Wild Magnolias
Long Red,Mountain
Get on the Good Foot,James Brown
Give It Up or Turnit a Loose (Remix),James Brown
Gangster Boogie,Chicago Gangsters
"Well, Have a Nice Day",King Errisson
Free Your Mind,The Politicians
Got What I Need,Freddy Scott
The Payback,James Brown
The Grunt,The JB's
"You Can't Love Me, If You Don't Respect Me",Lyn Collins
Action,Orange Krush
I Think I'd Do It,Z.Z. Hill
Gotta Get Out of Here,Lucy Hawkins
Good Old Music,Funkadelic
Uphill Peace Of Mind,Kid Dynamite
Ain't We Funkin' Now,The Brothers Johnson
Blind Alley,The Emotions
Theme From the Planets,Dexter Wansel
Looking Out My Window,Tom Jones
Don't Change Your Love,5 Stairsteps & Cubie
Get Up And Dance,Freedom
Do The Funky Penguin,Rufus Thomas
Kissing My Love,Bill Withers
Super Bad,James Brown
Dizzy,Tommy Roe
Family Affair,MFSB
Sneakin' in the Back,Tom Scott
The Big Beat,Billy Squier
Jam on the Groove,Ralph MacDonald
Whiskey and Wine,The Motors
Fatbackin',The Fatback Band
I'm Gonna Get You,Sir Joe Quarterman & Free Soul
Planetary Citizen,Mahavishnu Orchestra
Sport,Lightnin' Rod
Heaven & Hell Is on Earth,20th Century Steel Band
Hihache,Lafayette Afro Rock Band
