Track Name,Track Artists
Apache,Incredible Bongo Band
It's Just Begun,Jimmy Castor Bunch
Give It Up or Turn It Loose,James Brown
Funky Nassau,The Beginning of the End
The Mexican,Babe Ruth
Catch a Groove,Juice
Melting Pot,Booker T & the MG's
Funky Drummer,James Brown
Think,Lyn Collins
Black Belt Jones Theme,Dennis Coffey
Burning Spear,S.O.U.L.
I Believe in Miracles,Jackson Sister
Yellow Sunshine,Yellow Sunshine
In-A-Gadda-Da-Vida,Incredible Bongo Band
God Made Me Funky,The Headhunters
24 Carat Black,24 Carat Black
Scorpio,Dennis Coffey
Sky's the Limit,Rhythm Heritage
Brothers on the Slide,Cymande
Date with the Rain,Eddie Kendricks
Get Ready,Rare Earth
Love to the World,L.T.D.
Cloud 9,Mongo Santamaria
I Can't Get Next to You,Mongo Santamaria
Bustin' Loose,Chuck Brown and the Soul Searchers
Dance to the Drummer's Beat,Herman Kelly & Life
It's Great to be Here,The Jackson 5
Love the Life You Live,Black Heat
"Well, Have a Nice Day",King Errisson
Police Woman,Henry Mancini
Rock Steady,Aretha Franklin
Chocolate Buttermilk,Kool & The Gang
Space Funk,Manzel
You Should've Listened,Black Heat
Get on the Good Foot,James Brown
Castle in the Sky,The Futures
You Made Me What I Am,The Jackson 5
Brother Green,Roy Ayers
"Get on Up, Get Into It, Get Involved",James Brown
Family Affair,MFSB
The Grunt,The JB's
I Get Lifted,KC & The Sunshine Band
Mardi Gras,Bob James
Africano,"Earth, Wind & Fire"
Rock Creek Park,Blackbyrds
Blow Your Head,Fred Wesley and the JB's
Super Bad,James Brown
Afrique,Soul Makossa
"Amen, Brother",The Winstons
Impeach the President,The Honey Drippers
Think (About It),Lyn Collins
The Champ,The Mohawks
