Track Name,Track Artists
Mary Mary,The Monkees
Black Grass,Bad Bascomb
Indiscreet,D.C. LaRue
Do The Funky Penguin,Rufus Thomas
Get Me Back on Time,Wilson Pickett
Catch A Groove,Juice
Honky Tonk Women,The Rolling Stones
You'll Like It Too,Funkadelic
Boogie Back,Roy Ayers Ubiquity
Got To Be Real,Cheryl Lynn
Apache,The Incredible Bongo Band
Dance to the Drummer's Beat,Herman Kelly & Life
Bongo Rock,The Incredible Bongo Band
Give It To You,UPP
Different Strokes,Syl Johnson
I Know You Got Soul,Bobby Byrd
I Think I'd Do It,Z.Z. Hill
Sing Sing,Gaz
Break Through,Isaac Hayes
Looking Out My Window,Tom Jones
Funky Music Is the Thing,Dynamic Corvettes
Shifting Gears,Johnny Hammond
Hit or Miss,Bo Diddley
"(Somebody Got) Soul, Soul, Soul",The Wild Magnolias
Synthetic Substitution,Melvin Bliss
Get Up And Dance,Freedom
Heaven & Hell Is on Earth,20th Century Steel Band
Shack Up,Banbarra
Sing A Simple Song,Please
Cold Sweat,James Brown & The Famous Flames
2001,Cecil Holmes Soulful Sounds
Down on the Avenue,Fat Larry's Band
I Like Funky Music,Uncle Louie
Give it Up Or Turnit A Loose,James Brown
Street Talk,Funky Constellation
Let's Dance,Pleasure
I Can't Stop,John Davis and The Monster Orchestra
Planetary Citizen,Mahavishnu Orchestra
Good Old Music,Funkadelic
Sing Sing Sing,The Incredible Bongo Band
Parade Strut,J.J. Johnson
Sesame Street, Blow Fly
Midnight Theme,Manzel
Burning Bridges,The Mike Curb Congregation
Fatbackin',The Fatback Band
Flip,Jesse Green
Easter Parade,Ingrid
UFO,ESG
The Big Beat,Billy Squier
Cavern,Liquid Liquid
Long Red,Mountain
Seven Minutes of Funk,The Whole Darn Family
Funky President,James Brown
Theme From the Planets,Dexter Wansel
Theme From S.W.A.T.,Rhythm Heritage
It's Great to Be Here,Jackson 5ive
Ain't We Funkin' Now,The Brothers Johnson
Shangri La,La Pregunta
Last Night Changed It All,Esther Williams
Impeach the President,The Honey Drippers
God Make Me Funky,The Headhunters
